Rk,Name,Pos,Age,Team,Game,GS,3P%,FT%,STL,PER,TS%,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,VORP,EFF,GmSc,FG,3P,3PA,ORB,DRB,AST,BLK,PTS,last_year_salary
1,Alex Abrines,G,25,OKC,29,2,0.323,0.923,17,6.6,0.51,0.9,4.2,4.4,1.4,0.9,8.1,12.3,-0.1,5.896551724,93.4,55,40,124,5,42,20,6,162,5455236
2,Quincy Acy,F,28,PHO,2,0,0,,0,-6.1,0,0,3.3,0,0,0,0,2.6,0,0.5,-2.4,0,0,1,0,1,0,0,0,0
3,Jaylen Adams,G,22,ATL,8,0,0.4,,1,10.4,0.5,0,5.9,19.5,1.7,3.2,14.3,10.5,0,1.5,7,2,2,5,0,3,4,1,6,
4,Steven Adams,C,25,OKC,40,40,0,0.543,58,20.2,0.604,14.2,15.4,7.2,2,2,10.8,17.2,1.9,19,607.8,259,0,1,189,216,68,32,618,24157303
5,Bam Adebayo,C,21,MIA,40,5,0.167,0.724,29,18.2,0.606,10.3,16.6,15,1.7,3.4,16,15.5,1.1,12.325,340.9,121,1,6,85,187,86,34,319,2955840
6,DeVaughn Akoon-Purcell,G,25,DEN,7,0,0,0.5,2,8.5,0.322,4.9,9.9,37.4,4.5,0,15.5,25,0,1.857142857,5,3,0,4,1,3,6,0,7,
7,LaMarcus Aldridge,C,33,SAS,43,43,0.143,0.842,23,22,0.566,9.7,14.4,12,0.8,3,9.3,27.3,1.1,19,705.5,350,2,14,122,247,104,50,889,22347015
8,Rawle Alkins,G,21,CHI,2,0,1,,1,61.4,0.375,81.8,41.1,92.9,12.2,0,0,44.5,0.1,4,5.1,1,1,1,3,0,2,0,3,
9,Grayson Allen,G,23,UTA,17,1,0.268,0.72,1,3.8,0.473,0.7,1.7,6.1,0.3,0,12,21.7,-0.3,2,21.4,20,11,41,1,4,7,0,69,
10,Jarrett Allen,C,20,BRK,42,42,0.16,0.734,24,19.8,0.634,10.4,16.9,8.2,1.1,4.3,12.6,16.9,1.3,14.88095238,483.1,184,4,25,108,239,59,62,485,2034120
11,Al-Farouq Aminu,F,28,POR,43,43,0.352,0.837,41,12.6,0.563,5.3,13.9,4.6,1.5,1.1,8.9,13,0.9,14.11627907,371.1,137,58,165,63,281,44,18,404,6957105
12,Justin Anderson,G,25,ATL,23,0,0.2,0.769,9,8.6,0.461,5.1,9.7,7.8,2.1,3,14,17.3,-0.1,3.652173913,44.3,26,6,30,10,27,11,7,68,2516048
13,Kyle Anderson,F,25,MEM,40,37,0.265,0.576,52,13.3,0.567,4,11.3,15.5,2.2,2.8,15.3,12.7,1.2,13.625,345.7,139,9,34,43,195,123,35,321,8641000
14,Ryan Anderson,F,30,PHO,15,8,0.206,0.786,3,4.7,0.423,5.6,9.2,8.1,0.5,0.3,15.4,12.2,-0.3,5.333333333,33.9,19,7,34,14,31,17,1,56,20421546
15,Ike Anigbogu,C,20,IND,3,0,,,0,-6,0,19.2,28,19.1,0,15,25,29.1,0,1.333333333,-0.4,0,0,0,1,2,1,1,0,0
16,Giannis Antetokounmpo,F,24,MIL,38,38,0.167,0.699,49,29,0.63,7.9,19.7,29.7,1.8,3.9,16.2,31.5,3.7,27.86842105,889.9,378,15,90,92,394,228,58,1010,24157303
17,Carmelo Anthony,F,34,HOU,10,2,0.328,0.682,4,11.2,0.513,3.4,10.4,2.7,0.7,2,5.8,20.7,-0.3,13.2,77.5,49,21,64,9,45,5,7,134,0
18,OG Anunoby,F,21,TOR,38,5,0.344,0.353,24,9.9,0.526,4.2,7.7,4.8,1.5,1,8.7,16.2,0.1,8.157894737,183.2,115,45,131,30,84,28,10,287,2034120
19,Ryan Arcidiacono,G,24,CHI,41,23,0.397,0.853,42,10.6,0.6,1.1,5.1,18.8,1.9,0.1,13.6,10.1,0.3,9.756097561,262.1,88,54,136,11,91,147,1,259,0
20,Trevor Ariza,F,33,TOT,39,39,0.335,0.855,63,10.5,0.503,1.9,8.9,13.8,2.2,0.6,13.2,15.8,0.3,15.15384615,355.9,149,81,242,24,193,138,9,438,15000000
21,D.J. Augustin,G,31,ORL,40,40,0.423,0.895,22,15.6,0.626,2,4.2,25.9,1,0,13.6,16.9,0.3,11.4,404.5,146,66,156,21,65,194,0,460,7250000
