Rk,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,EFF,GmSc,last_year_salary,PID,Jersey
1,Alex Abrines,G,25,OKC,29,2,573,55,153,0.359,40,124,0.323,15,29,0.517,0.49,12,13,0.923,5,42,47,20,17,6,14,51,162,6.6,0.51,0.81,0.085,0.9,7.7,4.2,4.4,1.4,0.9,8.1,12.3,0.1,0.7,0.8,0.069,-2.3,-0.3,-2.6,-0.1,5.896551724,93.4,5455236,203518,8
2,Quincy Acy,F,28,PHX,2,0,17,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,5,0,-6.1,0,1,0,0,6.8,3.3,0,0,0,0,2.6,0,0,0,-0.073,-7.9,-2.2,-10.2,0,0.5,-2.4,0,203112,4
3,Jaylen Adams,G,22,ATL,8,0,27,2,6,0.333,2,5,0.4,0,1,0,0.5,0,0,,0,3,3,4,1,1,1,0,6,10.4,0.5,0.833,0,0,12.1,5.9,19.5,1.7,3.2,14.3,10.5,0,0,0,0.057,-3.2,-0.5,-3.7,0,1.5,7,,1629121,10
4,Steven Adams,C,25,OKC,40,40,1357,259,431,0.601,0,1,0,259,430,0.602,0.601,100,184,0.543,189,216,405,68,58,32,62,104,618,20.2,0.604,0.002,0.427,14.2,16.7,15.4,7.2,2,2,10.8,17.2,3.2,2.4,5.6,0.199,1.2,2.3,3.5,1.9,19,607.8,24157304,203500,12
5,Bam Adebayo,C,21,MIA,40,5,856,121,217,0.558,1,6,0.167,120,211,0.569,0.56,76,105,0.724,85,187,272,86,29,34,50,104,319,18.2,0.606,0.028,0.484,10.3,23,16.6,15,1.7,3.4,16,15.5,1.7,1.5,3.2,0.177,-0.2,3.5,3.2,1.1,12.325,340.9,2955840,1628389,13
7,LaMarcus Aldridge,C,33,SAS,43,43,1401,350,688,0.509,2,14,0.143,348,674,0.516,0.51,187,222,0.842,122,247,369,104,23,50,81,93,889,22,0.566,0.02,0.323,9.7,19,14.4,12,0.8,3,9.3,27.3,2.9,1.5,4.4,0.152,0.9,0.2,1.1,1.1,19,705.5,22347015,200746,12
8,Rawle Alkins,G,21,CHI,2,0,4,1,4,0.25,1,1,1,0,3,0,0.375,0,0,,3,0,3,2,1,0,0,0,3,61.4,0.375,0.25,0,81.8,0,41.1,92.9,12.2,0,0,44.5,0,0,0,0.541,44.1,22.4,66.5,0.1,4,5.1,,1628959,20
9,Grayson Allen,G,23,UTA,17,1,165,20,62,0.323,11,41,0.268,9,21,0.429,0.411,18,25,0.72,1,4,5,7,1,0,10,18,69,3.8,0.473,0.661,0.403,0.7,2.6,1.7,6.1,0.3,0,12,21.7,-0.2,0.1,-0.1,-0.036,-4.2,-4.3,-8.5,-0.3,2,21.4,2074320,1628960,24
10,Jarrett Allen,C,20,BKN,42,42,1111,184,315,0.584,4,25,0.16,180,290,0.621,0.59,113,154,0.734,108,239,347,59,24,62,55,99,485,19.8,0.634,0.079,0.489,10.4,23.5,16.9,8.2,1.1,4.3,12.6,16.9,2.7,1.4,4.1,0.177,0.2,2.4,2.6,1.3,14.88095238,483.1,2034120,1628386,31
11,Al-Farouq Aminu,F,28,POR,43,43,1293,137,321,0.427,58,165,0.352,79,156,0.506,0.517,72,86,0.837,63,281,344,44,41,18,35,88,404,12.6,0.563,0.514,0.268,5.3,22.1,13.9,4.6,1.5,1.1,8.9,13,1.5,1.6,3.2,0.117,-0.1,1,0.9,0.9,14.11627907,371.1,6957105,202329,8
12,Justin Anderson,G,25,ATL,23,0,201,26,68,0.382,6,30,0.2,20,38,0.526,0.426,10,13,0.769,10,27,37,11,9,7,12,25,68,8.6,0.461,0.441,0.191,5.1,14.6,9.7,7.8,2.1,3,14,17.3,-0.2,0.2,0,-0.001,-4.7,0,-4.6,-0.1,3.652173913,44.3,2516048,1626147,1
13,Kyle Anderson,F,25,MEM,40,37,1208,139,257,0.541,9,34,0.265,130,223,0.583,0.558,34,59,0.576,43,195,238,123,52,35,51,103,321,13.3,0.567,0.132,0.23,4,18.9,11.3,15.5,2.2,2.8,15.3,12.7,0.9,1.9,2.8,0.111,-1.9,3.8,1.9,1.2,13.625,345.7,8641000,203937,1
14,Ryan Anderson,F,30,PHX,15,8,278,19,60,0.317,7,34,0.206,12,26,0.462,0.375,11,14,0.786,14,31,45,17,3,1,12,23,56,4.7,0.423,0.567,0.233,5.6,12.8,9.2,8.1,0.5,0.3,15.4,12.2,-0.2,0,-0.2,-0.033,-4.1,-2,-6,-0.3,5.333333333,33.9,20421546,201583,15
15,Ike Anigbogu,C,20,IND,3,0,6,0,3,0,0,0,,0,3,0,0,0,0,,1,2,3,1,0,1,1,0,0,-6,0,0,0,19.2,36.3,28,19.1,0,15,25,29.1,-0.1,0,-0.1,-0.472,-22.4,8.6,-13.7,0,1.333333333,-0.4,1378242,1628387,13
16,Giannis Antetokounmpo,F,24,MIL,38,38,1277,378,651,0.581,15,90,0.167,363,561,0.647,0.592,239,342,0.699,92,394,486,228,49,58,155,128,1010,29,0.63,0.138,0.525,7.9,30.3,19.7,29.7,1.8,3.9,16.2,31.5,4,2.9,6.9,0.259,4.5,5.1,9.6,3.7,27.86842105,889.9,24157304,203507,34
17,Carmelo Anthony,F,34,HOU,10,2,294,49,121,0.405,21,64,0.328,28,57,0.491,0.492,15,22,0.682,9,45,54,5,4,7,8,32,134,11.2,0.513,0.529,0.182,3.4,17.9,10.4,2.7,0.7,2,5.8,20.7,0.1,0.2,0.3,0.042,-2.7,-3.2,-5.9,-0.3,13.2,77.5,2393887,2546,7
18,OG Anunoby,F,21,TOR,38,5,794,115,258,0.446,45,131,0.344,70,127,0.551,0.533,12,34,0.353,30,84,114,28,24,10,26,78,287,9.9,0.526,0.508,0.132,4.2,11.1,7.7,4.8,1.5,1,8.7,16.2,0.2,0.8,1,0.061,-1,-0.4,-1.4,0.1,8.157894737,183.2,1952760,1628384,3
19,Ryan Arcidiacono,G,24,CHI,41,23,1103,88,201,0.438,54,136,0.397,34,65,0.523,0.572,29,34,0.853,11,91,102,147,42,1,34,90,259,10.6,0.6,0.677,0.169,1.1,9.1,5.1,18.8,1.9,0.1,13.6,10.1,1.3,0.6,1.9,0.084,-0.2,-0.7,-0.9,0.3,9.756097561,262.1,1349383,1627853,51
20,Trevor Ariza,F,33,WAS,39,39,1372,149,405,0.368,81,242,0.335,68,163,0.417,0.468,59,69,0.855,24,193,217,138,63,9,66,72,438,10.5,0.503,0.598,0.17,1.9,16,8.9,13.8,2.2,0.6,13.2,15.8,-0.1,0.9,0.7,0.026,-1.1,0,-1.1,0.3,15.15384615,355.9,15000000,2772,1
21,D.J. Augustin,G,31,ORL,40,40,1113,146,317,0.461,66,156,0.423,80,161,0.497,0.565,102,114,0.895,21,65,86,194,22,0,58,53,460,15.6,0.626,0.492,0.36,2,6.5,4.2,25.9,1,0,13.6,16.9,2.6,0.6,3.1,0.135,1.9,-2.7,-0.8,0.3,11.4,404.5,7250000,201571,14
22,Deandre Ayton,C,20,PHX,43,42,1333,311,518,0.6,0,2,0,311,516,0.603,0.6,87,111,0.784,134,322,456,93,33,39,80,124,709,21.6,0.625,0.004,0.214,11.3,27.8,19.4,11.8,1.2,2.5,12.4,21.1,3,1.1,4.2,0.151,1,0.7,1.7,1.2,19.81395349,647.4,8165160,1629028,22
23,Dwayne Bacon,G,23,CHA,20,0,238,41,77,0.532,11,21,0.524,30,56,0.536,0.604,10,12,0.833,2,33,35,15,3,0,12,25,103,11.9,0.626,0.273,0.156,0.9,15.1,7.9,9.4,0.6,0,12.7,17,0.3,0.1,0.4,0.072,-1.6,-2.7,-4.3,-0.1,4.65,67.5,1378242,1628407,7
24,Marvin Bagley,F,19,SAC,28,0,640,131,245,0.535,9,28,0.321,122,217,0.562,0.553,77,112,0.688,66,106,172,26,13,28,45,54,348,18.3,0.591,0.114,0.457,10.4,17.6,13.9,5.8,0.9,3.7,13.3,21.9,0.9,0.6,1.5,0.113,-0.7,-0.4,-1.1,0.1,11.92857143,277.1,7305600,1628963,35
